Unnamed: 0,Cash & Cash Equivalents,Total Assets,Total Liabilities,Shareholders' Equity,Total Long-Term Liabilities,Total Current Liabilities,Long-Term Debt,Current Debt,Accion
1997-03-31,342.0,17534.0,12317.0,5217.0,10058.0,2259.0,4639.0,55.0,OXY
1996-12-31,258.0,14981.0,9841.0,5140.0,8004.0,1837.0,4511.0,47.0,OXY
1996-09-30,0.0,,,,,,,,OXY
1996-06-30,0.0,,,,,,,,OXY
1996-03-31,0.0,,,,,,,,OXY
1995-12-31,520.0,17815.0,13185.0,4630.0,10528.0,2657.0,4819.0,538.0,OXY
2023-03-31,2109.0,56561.0,34218.0,21851.0,22923.0,11295.0,17011.0,240.0,PARA
2022-12-31,2885.0,58393.0,34787.0,23036.0,23596.0,11191.0,17035.0,239.0,PARA
2022-09-30,3383.0,57287.0,34148.0,22647.0,23822.0,10326.0,17106.0,196.0,PARA
2022-06-30,4037.0,56961.0,33681.0,22776.0,24045.0,9636.0,17287.0,37.0,PARA
2022-03-31,5302.0,58043.0,34886.0,22664.0,25163.0,9723.0,18376.0,15.0,PARA
2021-12-31,6267.0,58620.0,35650.0,22402.0,26171.0,9479.0,19296.0,11.0,PARA
2021-09-30,4823.0,55912.0,34843.0,20559.0,25930.0,8913.0,19221.0,15.0,PARA
2021-06-30,5375.0,55204.0,34548.0,20098.0,25962.0,8586.0,19175.0,17.0,PARA
2021-03-31,5499.0,54773.0,34930.0,19171.0,26229.0,8701.0,19285.0,19.0,PARA
2020-12-31,2984.0,52663.0,36607.0,15371.0,28311.0,8296.0,21300.0,16.0,PARA
2020-09-30,3086.0,51425.0,36180.0,14556.0,28417.0,7763.0,21472.0,18.0,PARA
2020-06-30,2288.0,51188.0,36638.0,13874.0,28653.0,7985.0,21520.0,364.0,PARA
2020-03-31,589.0,49045.0,35524.0,13449.0,26993.0,8531.0,19846.0,532.0,PARA
2019-12-31,632.0,49585.0,36296.0,13207.0,27248.0,9048.0,19707.0,717.0,PARA
2019-09-30,196.0,24476.0,19424.0,5052.0,15302.0,4122.0,10307.0,50.0,PARA
2019-06-30,216.0,23835.0,19082.0,4753.0,15239.0,3843.0,10217.0,0.0,PARA
2019-03-31,500.0,24075.0,19726.0,4349.0,15234.0,4492.0,10224.0,0.0,PARA
2018-12-31,856.0,44497.0,33994.0,10449.0,25673.0,8321.0,18100.0,1013.0,PARA
2018-09-30,182.0,21068.0,18554.0,2514.0,14561.0,3993.0,9465.0,388.0,PARA
2018-06-30,252.0,20385.0,18218.0,2167.0,14434.0,3784.0,9464.0,386.0,PARA
2018-03-31,147.0,20591.0,18608.0,1983.0,14539.0,4069.0,9470.0,236.0,PARA
2017-12-31,285.0,20843.0,18865.0,1978.0,14893.0,3972.0,9464.0,698.0,PARA
2017-09-30,144.0,23894.0,20900.0,2994.0,16848.0,4052.0,9080.0,609.0,PARA
